Country,Landlocked,VLOOKUP
Afghanistan,1,Afghanistan
Andorra,1,Andorra
Armenia,1,Armenia
Austria,1,Austria
Azerbaijan,1,Azerbaijan
Belarus,1,Belarus
Bhutan,1,Bhutan
Bolivia,1,Bolivia
Botswana,1,Botswana
Burkina Faso,1,Burkina Faso
Burundi,1,Burundi
Central African Republic,1,Central African Republic
Chad,1,Chad
Czech Republic,1,Czech Republic
Eswatini,1,Eswatini
Ethiopia,1,Ethiopia
Hungary,1,Hungary
Kazakhstan,1,Kazakhstan
Kyrgyzstan,1,Kyrgyzstan
Laos,1,Laos
Lesotho,1,Lesotho
Liechtenstein,1,Liechtenstein
Luxembourg,1,Luxembourg
Malawi,1,Malawi
Mali,1,Mali
Moldova,1,Moldova
Mongolia,1,Mongolia
Nepal,1,Nepal
Niger,1,Niger
North Macedonia,1,North Macedonia
Paraguay,1,Paraguay
Rwanda,1,Rwanda
San Marino,1,San Marino
Serbia,1,Serbia
Slovakia,1,Slovakia
South Sudan,1,South Sudan
Switzerland,1,Switzerland
Tajikistan,1,Tajikistan
Turkmenistan,1,Turkmenistan
Uganda,1,Uganda
Uzbekistan,1,Uzbekistan
Vatican City,1,Vatican City
Zambia,1,Zambia
Zimbabwe,1,Zimbabwe
Kosovo,1,Kosovo