country,costLiving_lc,cpri_numbeo
Monaco,3743,
Cayman Islands,2844,
Switzerland,2497,925.900
Ireland,2316,631.800
Liechtenstein,2306,
Iceland,2207,751.200
Singapore,2169,744.600
Luxembourg,2163,755.300
Norway,2074,727.200
United States,1951,576.000
Australia,1944,612.800
United Kingdom,1929,532.400
Qatar,1856,559.300
Denmark,1837,635.300
Vanuatu,1829,
New Zealand,1782,575.600
Netherlands,1778,601.000
Israel,1774,606.300
Seychelles,1725,557.600
Bahamas,1715,615.100
Canada,1701,546.200
Austria,1617,538.200
United Arab Emirates,1576,498.100
North Korea,1540,
Finland,1536,538.900
Malta,1519,544.700
France,1519,542.200
Sweden,1515,535.500
Belgium,1495,533.500
Antigua and Barbuda,1465,
Marshall Islands,1464,
Germany,1414,501.600
Lebanon,1411,494.600
Japan,1370,565.800
Italy,1359,478.400
Kuwait,1326,415.700
Maldives,1288,476.500
Cyprus,1266,437.600
Spain,1260,411.600
Barbados,1258,611.700
Andorra,1232,
Curacao,1222,
Solomon Islands,1222,
Equatorial Guinea,1185,
Slovenia,1175,389.600
San Marino,1168,
Bahrain,1165,447.000
South Korea,1154,518.400
Saint Lucia,1153,
Brunei,1152,
Saint Kitts and Nevis,1145,
Senegal,1144,379.700
Turkmenistan,1141,
Grenada,1128,
Samoa,1109,
Panama,1092,392.500
Oman,1086,349.300
Taiwan,1057,431.500
Palau,1040,
Estonia,1040,362.400
Portugal,1038,373.800
Tonga,1035,
Czech Republic,1014,345.900
Ivory Coast,1010,375.800
Greece,1008,375.200
Mozambique,1006,
Croatia,1001,363.600
Slovakia,990,335.300
Trinidad and Tobago,979,
South Africa,974,321.900
Saudi Arabia,952,324.400
Niger,950,
Latvia,938,330.600
Palestine,937,355.200
Zimbabwe,935,298.200
Uruguay,929,337.000
Namibia,921,
Nigeria,916,315.900
Chile,905,330.600
Angola,896,
Belize,889,327.400
Laos,888,
Poland,882,314.000
São Tomé and Príncipe,880,
Cuba,880,373.100
Guinea,877,
Lithuania,869,315.600
Myanmar,864,288.000
Guatemala,857,313.400
Dominica,856,
Costa Rica,852,333.200
Jordan,850,319.700
Thailand,831,311.100
Jamaica,829,358.700
Hungary,817,286.200
El Salvador,816,301.800
Somalia,811,212.200
Guyana,803,307.800
Burkina Faso,799,
Cape Verde,797,
Mauritania,781,
Fiji,773,324.200
Honduras,765,271.400
Tanzania,760,242.000
Ecuador,756,264.200
China,752,299.100
Bolivia,750,241.000
DR Congo,748,
Sierra Leone,745,
Benin,731,
Montenegro,720,269.500
Suriname,714,315.600
Guinea-Bissau,712,
Eswatini,711,
Serbia,711,247.300
Dominican Republic,711,271.500
Iraq,710,245.900
Ghana,701,304.600
Lesotho,694,
Cambodia,692,324.900
Cameroon,688,254.900
Mexico,678,264.300
Zambia,676,216.300
Togo,669,
Iran,668,295.800
Botswana,666,273.700
Malawi,666,
Venezuela,657,297.300
Russia,656,268.300
Bulgaria,654,252.000
Kenya,654,238.700
Romania,652,248.000
Malaysia,652,249.900
Mauritius,651,309.000
Morocco,644,236.800
Vietnam,639,262.900
Nicaragua,633,264.800
Rwanda,633,253.400
Peru,630,229.500
Tuvalu,608,
Albania,608,242.500
Uganda,604,213.600
Mongolia,603,227.800
Philippines,601,258.300
Brazil,601,236.500
Bosnia and Herzegovina,599,
Armenia,592,232.200
Comoros,589,
Gabon,587,
Nauru,584,
Colombia,574,190.900
Ethiopia,574,338.400
Bhutan,569,
Libya,560,352.500
Burundi,560,
Mali,560,
Yemen,559,307.500
Madagascar,555,
North Macedonia,553,207.000
Djibouti,548,
Indonesia,548,239.100
Paraguay,546,214.500
Liberia,544,
Ukraine,542,221.200
Chad,540,
Eritrea,538,
Georgia,538,198.100
Central African Republic,538,
Moldova,537,206.400
Haiti,531,
Papua New Guinea,530,
Uzbekistan,529,190.200
Bangladesh,521,199.400
Gambia,520,
South Sudan,519,
Sudan,517,
Azerbaijan,513,202.300
Kiribati,511,
Belarus,504,216.900
Argentina,494,228.300
Kazakhstan,468,203.500
Tajikistan,450,
Egypt,449,184.300
Turkey,447,204.900
Nepal,439,170.100
Syria,435,178.300
Algeria,431,173.400
Kyrgyzstan,430,
Sri Lanka,428,202.300
Tunisia,424,181.500
India,423,158.400
Pakistan,370,138.700
Afghanistan,354,165.400
Bermuda,,1.267.100
Puerto Rico,,458.900
Hong Kong,,793.100